Enzyme,Action,Target_Organ,Next_Step
A,Inhibit,Liver,Hepatic Veno-Occlusive Disease
A,Inhibit,Liver,Liver Neoplasms
A1BG,Inhibit,Liver,Hepatomegaly
A2M,Inhibit,Liver,"Adenoma, Liver Cell"
A2M,Inhibit,Liver,"Carcinoma, Hepatocellular"
A2M,Inhibit,Liver,Hepatolenticular Degeneration
A2M,Inhibit,Liver,Liver Cirrhosis
A2M,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AADAC,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AADAT,Inhibit,Liver,"Carcinoma, Hepatocellular"
AADAT,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AASS,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ABAT,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ABCA8A,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ABCB1,Inhibit,Liver,"Carcinoma, Hepatocellular"
ABCB1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ABCB1,Inhibit,Heart,"Heart Defects, Congenital"
ABCB1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ABCB1,Inhibit,Brain,Neuroblastoma
ABCB1,Inhibit,Brain,Neurotoxicity Syndromes
ABCB11,Inhibit,Liver,"CHOLESTASIS, BENIGN RECURRENT INTRAHEPATIC, 2"
ABCB11,Inhibit,Liver,"Cholestasis, Intrahepatic"
ABCB11,Inhibit,Liver,"Cholestasis, progressive familial intrahepatic 1"
ABCB11,Inhibit,Liver,"Cholestasis, progressive familial intrahepatic 2"
ABCB11,Inhibit,Liver,"Cholestasis, progressive familial intrahepatic 3"
ABCB1A,Inhibit,Heart,Cardiomyopathies
ABCB1A,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ABCB1A,Inhibit,Heart,Heart Diseases
ABCB1A,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ABCB1B,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ABCB1B,Inhibit,Liver,Liver Neoplasms
ABCB4,Inhibit,Liver,"Carcinoma, Hepatocellular"
ABCB4,Inhibit,Liver,"Cholestasis, progressive familial intrahepatic 1"
