source_node,target_node,edge_type
CID_10355,CID_Temazepam,DRUG_INTERACT_DRUG
CID_1808,CID_Bumetanide,DRUG_INTERACT_DRUG
CID_221147,CID_POLYETHYLENE GLYCOL 3350,DRUG_INTERACT_DRUG
CID_10324,CID_Tamoxifen,DRUG_INTERACT_DRUG
CID_161,CID_Acetaminophen,DRUG_INTERACT_DRUG
CID_7781,CID_Oxazepam,DRUG_INTERACT_DRUG
CID_id,CID_name,DRUG_INTERACT_DRUG
CID_8745,CID_Promethazine,DRUG_INTERACT_DRUG
CID_1,PMID_21,DRUG_MENTIONED_IN_LITERATURE
CID_2,PMID_22,DRUG_MENTIONED_IN_LITERATURE
CID_3,PMID_23,DRUG_MENTIONED_IN_LITERATURE
CID_4,PMID_24,DRUG_MENTIONED_IN_LITERATURE
CID_5,PMID_25,DRUG_MENTIONED_IN_LITERATURE
CID_6,PMID_26,DRUG_MENTIONED_IN_LITERATURE
CID_7,PMID_30,DRUG_MENTIONED_IN_LITERATURE
CID_8,PMID_31,DRUG_MENTIONED_IN_LITERATURE
CID_9,PMID_32,DRUG_MENTIONED_IN_LITERATURE
CID_11,PMID_33,DRUG_MENTIONED_IN_LITERATURE
CID_12,PMID_35,DRUG_MENTIONED_IN_LITERATURE
CID_13,PMID_36,DRUG_MENTIONED_IN_LITERATURE
CID_14,PMID_37,DRUG_MENTIONED_IN_LITERATURE
CID_15,PMID_38,DRUG_MENTIONED_IN_LITERATURE
CID_16,PMID_39,DRUG_MENTIONED_IN_LITERATURE
CID_17,PMID_40,DRUG_MENTIONED_IN_LITERATURE
CID_18,PMID_41,DRUG_MENTIONED_IN_LITERATURE
CID_19,PMID_42,DRUG_MENTIONED_IN_LITERATURE
CID_20,PMID_43,DRUG_MENTIONED_IN_LITERATURE
CID_21,PMID_44,DRUG_MENTIONED_IN_LITERATURE
CID_22,PMID_45,DRUG_MENTIONED_IN_LITERATURE
CID_23,PMID_46,DRUG_MENTIONED_IN_LITERATURE
CID_24,PMID_47,DRUG_MENTIONED_IN_LITERATURE
CID_26,PMID_48,DRUG_MENTIONED_IN_LITERATURE
CID_28,PMID_49,DRUG_MENTIONED_IN_LITERATURE
CID_29,PMID_50,DRUG_MENTIONED_IN_LITERATURE
CID_30,PMID_51,DRUG_MENTIONED_IN_LITERATURE
CID_31,PMID_52,DRUG_MENTIONED_IN_LITERATURE
CID_32,PMID_53,DRUG_MENTIONED_IN_LITERATURE
CID_33,PMID_55,DRUG_MENTIONED_IN_LITERATURE
CID_34,PMID_54,DRUG_MENTIONED_IN_LITERATURE
CID_35,PMID_56,DRUG_MENTIONED_IN_LITERATURE
CID_36,PMID_57,DRUG_MENTIONED_IN_LITERATURE
CID_37,PMID_58,DRUG_MENTIONED_IN_LITERATURE
CID_38,PMID_59,DRUG_MENTIONED_IN_LITERATURE
CID_39,PMID_60,DRUG_MENTIONED_IN_LITERATURE
CID_40,PMID_61,DRUG_MENTIONED_IN_LITERATURE
CID_41,PMID_62,DRUG_MENTIONED_IN_LITERATURE
CID_42,PMID_63,DRUG_MENTIONED_IN_LITERATURE
CID_43,PMID_64,DRUG_MENTIONED_IN_LITERATURE
CID_44,PMID_65,DRUG_MENTIONED_IN_LITERATURE
CID_45,PMID_66,DRUG_MENTIONED_IN_LITERATURE
CID_46,PMID_67,DRUG_MENTIONED_IN_LITERATURE
CID_47,PMID_68,DRUG_MENTIONED_IN_LITERATURE
CID_48,PMID_70,DRUG_MENTIONED_IN_LITERATURE
