node_id,node_type
CID_1,Drug
CID_2,Drug
CID_3,Drug
CID_4,Drug
CID_5,Drug
CID_6,Drug
CID_7,Drug
CID_8,Drug
CID_9,Drug
CID_11,Drug
CID_12,Drug
CID_13,Drug
CID_14,Drug
CID_15,Drug
CID_16,Drug
CID_17,Drug
CID_18,Drug
CID_19,Drug
CID_20,Drug
CID_21,Drug
CID_22,Drug
CID_23,Drug
CID_24,Drug
CID_26,Drug
CID_28,Drug
CID_29,Drug
CID_30,Drug
CID_31,Drug
CID_32,Drug
CID_33,Drug
CID_34,Drug
CID_35,Drug
CID_36,Drug
CID_37,Drug
CID_38,Drug
CID_39,Drug
CID_40,Drug
CID_41,Drug
CID_42,Drug
CID_43,Drug
CID_44,Drug
CID_45,Drug
CID_46,Drug
CID_47,Drug
CID_48,Drug
CID_49,Drug
CID_50,Drug
CID_51,Drug
CID_52,Drug
CID_53,Drug
CID_54,Drug
CID_55,Drug
CID_56,Drug
CID_57,Drug
CID_58,Drug
CID_59,Drug
CID_60,Drug
CID_61,Drug
CID_62,Drug
CID_63,Drug
CID_64,Drug
CID_65,Drug
CID_66,Drug
CID_67,Drug
CID_68,Drug
CID_69,Drug
CID_70,Drug
CID_71,Drug
CID_72,Drug
CID_73,Drug
CID_74,Drug
CID_75,Drug
CID_76,Drug
CID_77,Drug
CID_78,Drug
CID_79,Drug
CID_80,Drug
CID_81,Drug
CID_82,Drug
CID_84,Drug
CID_85,Drug
CID_86,Drug
CID_87,Drug
CID_88,Drug
CID_89,Drug
CID_90,Drug
CID_91,Drug
CID_92,Drug
CID_93,Drug
CID_94,Drug
CID_95,Drug
CID_96,Drug
CID_97,Drug
CID_98,Drug
CID_99,Drug
CID_100,Drug
CID_101,Drug
CID_102,Drug
CID_103,Drug
CID_104,Drug
CID_105,Drug
CID_106,Drug
CID_107,Drug
CID_108,Drug
CID_109,Drug
CID_110,Drug
CID_111,Drug
CID_112,Drug
CID_113,Drug
CID_114,Drug
CID_115,Drug
CID_116,Drug
CID_117,Drug
CID_118,Drug
CID_119,Drug
CID_120,Drug
CID_121,Drug
CID_122,Drug
CID_123,Drug
CID_124,Drug
CID_125,Drug
CID_126,Drug
CID_127,Drug
CID_128,Drug
CID_129,Drug
CID_130,Drug
CID_131,Drug
CID_132,Drug
CID_133,Drug
CID_134,Drug
CID_135,Drug
CID_137,Drug
CID_138,Drug
CID_139,Drug
CID_140,Drug
CID_141,Drug
CID_142,Drug
CID_144,Drug
CID_145,Drug
CID_149,Drug
CID_150,Drug
CID_151,Drug
CID_152,Drug
CID_153,Drug
CID_154,Drug
CID_155,Drug
CID_156,Drug
CID_157,Drug
CID_158,Drug
CID_159,Drug
CID_160,Drug
CID_161,Drug
CID_162,Drug
CID_163,Drug
CID_164,Drug
CID_165,Drug
CID_166,Drug
CID_167,Drug
CID_168,Drug
CID_169,Drug
CID_172,Drug
CID_173,Drug
CID_174,Drug
CID_175,Drug
CID_176,Drug
CID_177,Drug
CID_178,Drug
CID_179,Drug
CID_180,Drug
CID_181,Drug
CID_182,Drug
CID_183,Drug
CID_184,Drug
CID_185,Drug
CID_186,Drug
CID_187,Drug
CID_188,Drug
CID_189,Drug
CID_190,Drug
CID_191,Drug
CID_192,Drug
CID_193,Drug
CID_194,Drug
CID_195,Drug
CID_196,Drug
CID_197,Drug
CID_198,Drug
CID_199,Drug
CID_200,Drug
CID_201,Drug
CID_202,Drug
CID_203,Drug
CID_204,Drug
CID_205,Drug
CID_206,Drug
CID_207,Drug
CID_208,Drug
CID_209,Drug
CID_210,Drug
CID_211,Drug
CID_212,Drug
CID_213,Drug
CID_214,Drug
CID_215,Drug
CID_216,Drug
CID_217,Drug
CID_219,Drug
CID_220,Drug
CID_221,Drug
CID_222,Drug
CID_223,Drug
CID_224,Drug
CID_225,Drug
CID_226,Drug
CID_227,Drug
CID_228,Drug
CID_229,Drug
CID_230,Drug
CID_231,Drug
CID_232,Drug
CID_233,Drug
CID_234,Drug
CID_236,Drug
CID_237,Drug
CID_238,Drug
CID_239,Drug
CID_240,Drug
CID_241,Drug
CID_242,Drug
CID_243,Drug
CID_244,Drug
CID_245,Drug
CID_246,Drug
CID_247,Drug
CID_248,Drug
CID_249,Drug
CID_250,Drug
CID_251,Drug
CID_253,Drug
CID_254,Drug
CID_255,Drug
CID_256,Drug
CID_257,Drug
CID_258,Drug
CID_259,Drug
CID_260,Drug
CID_261,Drug
CID_262,Drug
CID_263,Drug
CID_264,Drug
CID_265,Drug
CID_266,Drug
CID_267,Drug
CID_268,Drug
CID_269,Drug
CID_270,Drug
CID_271,Drug
CID_273,Drug
CID_274,Drug
CID_275,Drug
CID_276,Drug
CID_277,Drug
CID_278,Drug
CID_279,Drug
CID_280,Drug
CID_281,Drug
CID_282,Drug
CID_283,Drug
CID_284,Drug
CID_285,Drug
CID_286,Drug
CID_287,Drug
CID_288,Drug
CID_289,Drug
CID_290,Drug
CID_291,Drug
CID_292,Drug
CID_293,Drug
CID_294,Drug
CID_296,Drug
CID_297,Drug
CID_298,Drug
CID_299,Drug
CID_300,Drug
CID_301,Drug
CID_302,Drug
CID_303,Drug
