PubChem_CID,Drug_Name,Chemical_Formula,SMILES_Structure,Image_Path
CID_1,Bioactive Compound 1,C9H17NO4,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,drug_images\CID_1.png
CID_2,Bioactive Compound 2,C9H18NO4+,CC(=O)OC(CC(=O)O)C[N+](C)(C)C,drug_images\CID_2.png
CID_3,Bioactive Compound 3,C7H8O4,O=C(O)C1=CC=CC(O)C1O,drug_images\CID_3.png
CID_4,Bioactive Compound 4,C3H9NO,CC(O)CN,drug_images\CID_4.png
CID_5,Bioactive Compound 5,C3H8NO5P,NCC(=O)COP(=O)(O)O,drug_images\CID_5.png
CID_6,Bioactive Compound 6,C6H3ClN2O4,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,drug_images\CID_6.png
CID_7,Bioactive Compound 7,C7H9N5,CCn1cnc2c(N)ncnc21,drug_images\CID_7.png
CID_8,Bioactive Compound 8,C6H12O4,CCC(C)(O)C(O)C(=O)O,drug_images\CID_8.png
CID_9,Bioactive Compound 9,C6H13O9P,O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O,drug_images\CID_9.png
CID_11,Bioactive Compound 11,C2H4Cl2,ClCCCl,drug_images\CID_11.png
CID_12,Bioactive Compound 12,C6H6O4,Oc1cc(O)c(O)c(O)c1,drug_images\CID_12.png
CID_13,Bioactive Compound 13,C6H3Cl3,Clc1ccc(Cl)c(Cl)c1,drug_images\CID_13.png
CID_14,Bioactive Compound 14,C20H32O5,CCCCCC(=O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,drug_images\CID_14.png
CID_15,Bioactive Compound 15,C19H30O2,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,drug_images\CID_15.png
CID_16,Bioactive Compound 16,C12H22N2O2,O=C1CCCCCNC(=O)CCCCCN1,drug_images\CID_16.png
CID_17,Bioactive Compound 17,C7H7NO4,O=C(O)C1=NC(C(=O)O)CC=C1,drug_images\CID_17.png
CID_18,Bioactive Compound 18,C6H8O7,O=C(O)C(=O)C(=O)C(O)C(O)CO,drug_images\CID_18.png
CID_19,Bioactive Compound 19,C7H6O4,O=C(O)c1cccc(O)c1O,drug_images\CID_19.png
