ChEMBL_Drug_ID,ChEMBL_Target_ID,Interaction_Type,PubChem_CID,Receptor_Name
CHEMBL615117,CHEMBL615118,Binding/Inhibitor,CID_1,Histamine H2 receptor
CHEMBL619989,CHEMBL619990,Binding/Inhibitor,CID_2,Beta-2 adrenergic receptor
CHEMBL624225,CHEMBL622420,Binding/Inhibitor,CID_3,D(1B) dopamine receptor
CHEMBL628546,CHEMBL874455,Binding/Inhibitor,CID_4,Endothelin-1 receptor
CHEMBL876435,CHEMBL628778,Binding/Inhibitor,CID_5,EGFR Kinase
CHEMBL638809,CHEMBL638810,Binding/Inhibitor,CID_6,Histamine H2 receptor
CHEMBL634007,CHEMBL634008,Binding/Inhibitor,CID_7,Beta-2 adrenergic receptor
CHEMBL638665,CHEMBL638666,Binding/Inhibitor,CID_8,D(1B) dopamine receptor
CHEMBL647272,CHEMBL647273,Binding/Inhibitor,CID_9,Endothelin-1 receptor
CHEMBL651812,CHEMBL651813,Binding/Inhibitor,CID_11,EGFR Kinase
CHEMBL656312,CHEMBL656313,Binding/Inhibitor,CID_12,Histamine H2 receptor
CHEMBL656894,CHEMBL656895,Binding/Inhibitor,CID_13,Beta-2 adrenergic receptor
CHEMBL661550,CHEMBL661551,Binding/Inhibitor,CID_14,D(1B) dopamine receptor
CHEMBL663823,CHEMBL663824,Binding/Inhibitor,CID_15,Endothelin-1 receptor
CHEMBL675067,CHEMBL675068,Binding/Inhibitor,CID_16,EGFR Kinase
CHEMBL670726,CHEMBL670727,Binding/Inhibitor,CID_17,Histamine H2 receptor
CHEMBL673813,CHEMBL673814,Binding/Inhibitor,CID_18,Beta-2 adrenergic receptor
CHEMBL680182,CHEMBL680183,Binding/Inhibitor,CID_19,D(1B) dopamine receptor
CHEMBL689127,CHEMBL688200,Binding/Inhibitor,CID_20,Endothelin-1 receptor
CHEMBL692911,CHEMBL693069,Binding/Inhibitor,CID_21,EGFR Kinase
CHEMBL695285,CHEMBL695286,Binding/Inhibitor,CID_22,Histamine H2 receptor
CHEMBL700289,CHEMBL700290,Binding/Inhibitor,CID_23,Beta-2 adrenergic receptor
CHEMBL703037,CHEMBL703038,Binding/Inhibitor,CID_24,D(1B) dopamine receptor
CHEMBL710344,CHEMBL710345,Binding/Inhibitor,CID_26,Endothelin-1 receptor
CHEMBL707394,CHEMBL707395,Binding/Inhibitor,CID_28,EGFR Kinase
CHEMBL714146,CHEMBL714147,Binding/Inhibitor,CID_29,Histamine H2 receptor
CHEMBL717462,CHEMBL717463,Binding/Inhibitor,CID_30,Beta-2 adrenergic receptor
CHEMBL721620,CHEMBL721621,Binding/Inhibitor,CID_31,D(1B) dopamine receptor
CHEMBL725882,CHEMBL725883,Binding/Inhibitor,CID_32,Endothelin-1 receptor
CHEMBL726559,CHEMBL726560,Binding/Inhibitor,CID_33,EGFR Kinase
CHEMBL731308,CHEMBL732281,Binding/Inhibitor,CID_34,Histamine H2 receptor
CHEMBL734695,CHEMBL734696,Binding/Inhibitor,CID_35,Beta-2 adrenergic receptor
CHEMBL743083,CHEMBL743084,Binding/Inhibitor,CID_36,D(1B) dopamine receptor
CHEMBL744156,CHEMBL744157,Binding/Inhibitor,CID_37,Endothelin-1 receptor
CHEMBL748034,CHEMBL748035,Binding/Inhibitor,CID_38,EGFR Kinase
CHEMBL750122,CHEMBL750123,Binding/Inhibitor,CID_39,Histamine H2 receptor
CHEMBL754981,CHEMBL882413,Binding/Inhibitor,CID_40,Beta-2 adrenergic receptor
CHEMBL758440,CHEMBL758441,Binding/Inhibitor,CID_41,D(1B) dopamine receptor
CHEMBL766157,CHEMBL766158,Binding/Inhibitor,CID_42,Endothelin-1 receptor
CHEMBL766372,CHEMBL766373,Binding/Inhibitor,CID_43,EGFR Kinase
CHEMBL771334,CHEMBL771335,Binding/Inhibitor,CID_44,Histamine H2 receptor
CHEMBL780155,CHEMBL780156,Binding/Inhibitor,CID_45,Beta-2 adrenergic receptor
CHEMBL779936,CHEMBL779937,Binding/Inhibitor,CID_46,D(1B) dopamine receptor
CHEMBL785013,CHEMBL785014,Binding/Inhibitor,CID_47,Endothelin-1 receptor
CHEMBL786494,CHEMBL786495,Binding/Inhibitor,CID_48,EGFR Kinase
CHEMBL787297,CHEMBL787298,Binding/Inhibitor,CID_49,Histamine H2 receptor
CHEMBL796612,CHEMBL796613,Binding/Inhibitor,CID_50,Beta-2 adrenergic receptor
CHEMBL798763,CHEMBL798764,Binding/Inhibitor,CID_51,D(1B) dopamine receptor
CHEMBL802188,CHEMBL802189,Binding/Inhibitor,CID_52,Endothelin-1 receptor
CHEMBL803254,CHEMBL803255,Binding/Inhibitor,CID_53,EGFR Kinase
CHEMBL813930,CHEMBL813931,Binding/Inhibitor,CID_54,Histamine H2 receptor
CHEMBL810104,CHEMBL810105,Binding/Inhibitor,CID_55,Beta-2 adrenergic receptor
CHEMBL815807,CHEMBL815808,Binding/Inhibitor,CID_56,D(1B) dopamine receptor
CHEMBL822008,CHEMBL822009,Binding/Inhibitor,CID_57,Endothelin-1 receptor
CHEMBL842355,CHEMBL842356,Binding/Inhibitor,CID_58,EGFR Kinase
CHEMBL849748,CHEMBL849749,Binding/Inhibitor,CID_59,Histamine H2 receptor
